memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.1,0.0,0.1,10,0,554531962.0
0.1,0.0,0.1,10,1,429307311.0
0.1,0.005,0.1,10,0,538505885.0
0.1,0.005,0.1,10,1,389426294.0
0.1,0.01,0.1,10,0,521606166.0
0.1,0.01,0.1,10,1,337729330.0
0.1,0.015,0.1,10,0,503744767.0
0.1,0.015,0.1,10,1,278254408.0
0.1,0.02,0.1,10,0,484841167.0
0.1,0.02,0.1,10,1,222044715.0
0.1,0.025,0.1,10,0,464537061.0
0.1,0.025,0.1,10,1,180712574.0
0.1,0.03,0.1,10,0,443054993.0
0.1,0.03,0.1,10,1,166705980.0
0.1,0.035,0.1,10,0,419910141.0
0.1,0.035,0.1,10,1,153113142.0
0.1,0.04,0.1,10,0,395848625.0
0.1,0.04,0.1,10,1,143136573.0
0.1,0.045,0.1,10,0,370772082.0
0.1,0.045,0.1,10,1,134648974.0
0.1,0.05,0.1,10,0,345150119.0
0.1,0.05,0.1,10,1,128216713.0
0.1,0.055,0.1,10,0,318922792.0
0.1,0.055,0.1,10,1,121168656.0
0.1,0.06,0.1,10,0,292223409.0
0.1,0.06,0.1,10,1,113873195.0
0.1,0.065,0.1,10,0,265175902.0
0.1,0.065,0.1,10,1,107381550.0
0.1,0.07,0.1,10,0,236969067.0
0.1,0.07,0.1,10,1,100860609.0
0.1,0.075,0.1,10,0,208176909.0
0.1,0.075,0.1,10,1,94311784.0
0.1,0.08,0.1,10,0,179402130.0
0.1,0.08,0.1,10,1,87748443.0
0.1,0.085,0.1,10,0,149960809.0
0.1,0.085,0.1,10,1,81908858.0
0.1,0.09,0.1,10,0,120218411.0
0.1,0.09,0.1,10,1,74749742.0
0.1,0.095,0.1,10,0,90547224.0
0.1,0.095,0.1,10,1,67468650.0
0.1,0.1,0.1,10,0,60499438.0
0.1,0.1,0.1,10,1,60499541.0
0.1,0.0,0.1,50,0,734561002.0
0.1,0.0,0.1,50,1,568312391.0
0.1,0.005,0.1,50,0,719536085.0
0.1,0.005,0.1,50,1,531239547.0
0.1,0.01,0.1,50,0,703631886.0
0.1,0.01,0.1,50,1,482406700.0
0.1,0.015,0.1,50,0,686777727.0
0.1,0.015,0.1,50,1,425803727.0
0.1,0.02,0.1,50,0,668880887.0
0.1,0.02,0.1,50,1,372487398.0
0.1,0.025,0.1,50,0,649575060.0
0.1,0.025,0.1,50,1,334096169.0
0.1,0.03,0.1,50,0,629081593.0
0.1,0.03,0.1,50,1,323056601.0
0.1,0.035,0.1,50,0,606926781.0
0.1,0.035,0.1,50,1,312451985.0
0.1,0.04,0.1,50,0,583864305.0
0.1,0.04,0.1,50,1,305465733.0
0.1,0.045,0.1,50,0,559784727.0
0.1,0.045,0.1,50,1,299999974.0
0.1,0.05,0.1,50,0,535163970.0
0.1,0.05,0.1,50,1,296579953.0
0.1,0.055,0.1,50,0,509947976.0
0.1,0.055,0.1,50,1,292600656.0
0.1,0.06,0.1,50,0,484250039.0
0.1,0.06,0.1,50,1,288402035.0
0.1,0.065,0.1,50,0,458203573.0
0.1,0.065,0.1,50,1,285024750.0
0.1,0.07,0.1,50,0,431002057.0
0.1,0.07,0.1,50,1,281653864.0
0.1,0.075,0.1,50,0,403204830.0
0.1,0.075,0.1,50,1,278267085.0
0.1,0.08,0.1,50,0,375427060.0
0.1,0.08,0.1,50,1,274873772.0
0.1,0.085,0.1,50,0,346974590.0
0.1,0.085,0.1,50,1,272221804.0
0.1,0.09,0.1,50,0,318234358.0
0.1,0.09,0.1,50,1,268281477.0
0.1,0.095,0.1,50,0,289559254.0
0.1,0.095,0.1,50,1,264223010.0
0.1,0.1,0.1,50,0,260499438.0
0.1,0.1,0.1,50,1,260499541.0
0.1,0.0,0.1,100,0,959597302.0
0.1,0.0,0.1,100,1,742068741.0
0.1,0.005,0.1,100,0,945823835.0
0.1,0.005,0.1,100,1,708506247.0
0.1,0.01,0.1,100,0,931164036.0
0.1,0.01,0.1,100,1,663253810.0
0.1,0.015,0.1,100,0,915568927.0
0.1,0.015,0.1,100,1,610241287.0
0.1,0.02,0.1,100,0,898930612.0
0.1,0.02,0.1,100,1,560542328.0
0.1,0.025,0.1,100,0,880872785.0
0.1,0.025,0.1,100,1,525826210.0
0.1,0.03,0.1,100,0,861614937.0
0.1,0.03,0.1,100,1,518494951.0
0.1,0.035,0.1,100,0,840697581.0
0.1,0.035,0.1,100,1,511625585.0
0.1,0.04,0.1,100,0,818883905.0
0.1,0.04,0.1,100,1,508377183.0
0.1,0.045,0.1,100,0,796050627.0
0.1,0.045,0.1,100,1,506688724.0
0.1,0.05,0.1,100,0,772681370.0
0.1,0.05,0.1,100,1,507034003.0
0.1,0.055,0.1,100,0,748729720.0
0.1,0.055,0.1,100,1,506890656.0
0.1,0.06,0.1,100,0,724283909.0
0.1,0.06,0.1,100,1,506563085.0
0.1,0.065,0.1,100,0,699488796.0
0.1,0.065,0.1,100,1,507078750.0
0.1,0.07,0.1,100,0,673543669.0
0.1,0.07,0.1,100,1,507645514.0
0.1,0.075,0.1,100,0,646990479.0
0.1,0.075,0.1,100,1,508211335.0
0.1,0.08,0.1,100,0,620459184.0
0.1,0.08,0.1,100,1,508780472.0
0.1,0.085,0.1,100,0,593242553.0
0.1,0.085,0.1,100,1,510113104.0
0.1,0.09,0.1,100,0,565755335.0
0.1,0.09,0.1,100,1,510196177.0
0.1,0.095,0.1,100,0,538324504.0
0.1,0.095,0.1,100,1,510165960.0
0.1,0.1,0.1,100,0,510499438.0
0.1,0.1,0.1,100,1,510499541.0
0.1,0.0,0.15,10,0,557017620.0
0.1,0.0,0.15,10,1,431213947.0
