memory_ratio,compress_ratio,miss_cost,load_dist,min_lat_pc_size,min_lat_pc_size_gb,min_lat,zero_ac_lat,zero_pc_lat,zero_ac_lat_to_min_lat,zero_pc_lat_to_min_lat,d_u,d_c
0.1,0.1,10,0,0.1,1.0,60499438.0,60499438.0,554531962.0,1.0,9.16590269813746,10.0,1.0
0.1,0.1,10,1,0.1,1.0,60499541.0,60499541.0,429307311.0,1.0,7.096042447660884,10.0,1.0
0.1,0.1,50,0,0.1,1.0,260499438.0,260499438.0,734561002.0,1.0,2.8198179913155896,10.0,1.0
0.1,0.1,50,1,0.1,1.0,260499541.0,260499541.0,568312391.0,1.0,2.1816253065873923,10.0,1.0
0.1,0.1,100,0,0.1,1.0,510499438.0,510499438.0,959597302.0,1.0,1.879722543396806,10.0,1.0
0.1,0.1,100,1,0.06,0.6,506563085.0,510499541.0,742068741.0,1.007770909717987,1.464908839537725,10.0,1.0
0.1,0.15,10,0,0.1,0.6667,263793483.0,263793483.0,557017620.0,1.0,2.1115670245727793,10.0,1.5
0.1,0.15,10,1,0.1,0.6667,114650680.0,114650680.0,431213947.0,1.0,3.761111115956748,10.0,1.5
0.1,0.15,50,0,0.1,0.6667,463792861.0,463792861.0,737046660.0,1.0,1.5891720679158967,10.0,1.5
0.1,0.15,50,1,0.095,0.6333,314302051.0,314650621.0,570219027.0,1.0011090287158195,1.8142389627613342,10.0,1.5
0.1,0.15,100,0,0.1,0.6667,713792673.0,713792673.0,962082960.0,1.0,1.3478465055636681,10.0,1.5
0.1,0.15,100,1,0.055,0.3667,540396481.0,564650621.0,743975377.0,1.0448821205406775,1.3767213576655397,10.0,1.5
0.1,0.2,10,0,0.1,0.5,366690090.0,366690090.0,559477630.0,1.0,1.5257506140948613,10.0,2.0
0.1,0.2,10,1,0.1,0.5,143651989.0,143651989.0,433137373.0,1.0,3.0151853518714593,10.0,2.0
0.1,0.2,50,0,0.1,0.5,566689930.0,566689930.0,739506670.0,1.0,1.3049581982160863,10.0,2.0
0.1,0.2,50,1,0.09,0.45,340746276.0,343651905.0,572142453.0,1.0085272509331842,1.6790864443665996,10.0,2.0
0.1,0.2,100,0,0.1,0.5,816689730.0,816689730.0,964542970.0,1.0,1.1810396709653739,10.0,2.0
0.1,0.2,100,1,0.065,0.325,569524822.0,593651905.0,745898803.0,1.042363531962089,1.3096862053889549,10.0,2.0
0.1,0.25,10,0,0.1,0.4,428755453.0,428755453.0,561952733.0,1.0,1.3106602588212446,10.0,2.5
0.1,0.25,10,1,0.1,0.4,163023992.0,163023992.0,435038514.0,1.0,2.668555153526114,10.0,2.5
0.1,0.25,50,0,0.1,0.4,628755336.0,628755336.0,741981773.0,1.0,1.1800802800662036,10.0,2.5
0.1,0.25,50,1,0.095,0.38,360806603.0,363023932.0,574043594.0,1.00614547788639,1.5910007999493292,10.0,2.5
0.1,0.25,100,0,0.1,0.4,878755330.0,878755330.0,967018073.0,1.0,1.100440634596208,10.0,2.5
0.1,0.25,100,1,0.075,0.3,596695304.0,613023932.0,747799944.0,1.0273651022398527,1.2532358458111814,10.0,2.5
0.1,0.3,10,0,0.1,0.3333,468997350.0,468997350.0,564453616.0,1.0,1.2035326340330068,10.0,3.0
0.1,0.3,10,1,0.1,0.3333,178796991.0,178796991.0,436940871.0,1.0,2.4437820153248553,10.0,3.0
0.1,0.3,50,0,0.1,0.3333,668997350.0,668997350.0,744482656.0,1.0,1.1128334902970842,10.0,3.0
0.1,0.3,50,1,0.1,0.3333,378796991.0,378796991.0,575945951.0,1.0,1.5204607340716707,10.0,3.0
0.1,0.3,100,0,0.1,0.3333,918997350.0,918997350.0,969518956.0,1.0,1.0549747025929945,10.0,3.0
0.1,0.3,100,1,0.085,0.2833,622302312.0,628796991.0,749702301.0,1.0104365336184065,1.204723631173011,10.0,3.0
0.1,0.35,10,0,0.1,0.2857,500673212.0,500673212.0,566888607.0,1.0,1.1322527217613552,10.0,3.5
0.1,0.35,10,1,0.1,0.2857,194092170.0,194092170.0,438866656.0,1.0,2.2611249902559183,10.0,3.5
0.1,0.35,50,0,0.1,0.2857,700673172.0,700673172.0,746917647.0,1.0,1.0660000651487767,10.0,3.5
0.1,0.35,50,1,0.1,0.2857,394092090.0,394092090.0,577871736.0,1.0,1.4663368046793326,10.0,3.5
0.1,0.35,100,0,0.1,0.2857,950673122.0,950673122.0,971953947.0,1.0,1.0223850075357448,10.0,3.5
0.1,0.35,100,1,0.1,0.2857,644092084.0,644092084.0,751628086.0,1.0,1.166957496717193,10.0,3.5
0.1,0.4,10,0,0.1,0.25,521968195.0,521968195.0,569371604.0,1.0,1.0908166617316597,10.0,4.0
0.1,0.4,10,1,0.1,0.25,210589203.0,210589203.0,440790691.0,1.0,2.093130534332285,10.0,4.0
0.1,0.4,50,0,0.1,0.25,721968075.0,721968075.0,749400644.0,1.0,1.0379969280497618,10.0,4.0
0.1,0.4,50,1,0.1,0.25,410588915.0,410588915.0,579795771.0,1.0,1.4121077063174001,10.0,4.0
0.1,0.4,100,0,0.1,0.25,971967925.0,971967925.0,974436944.0,1.0,1.0025402268289871,10.0,4.0
0.1,0.4,100,1,0.1,0.25,660588700.0,660588700.0,753552121.0,1.0,1.1407281429428024,10.0,4.0
0.1,0.45,10,0,0.1,0.2222,541831884.0,541831884.0,571854906.0,1.0,1.0554102165017665,10.0,4.5
0.1,0.45,10,1,0.1,0.2222,231033963.0,231033963.0,442680928.0,1.0,1.9160859392781138,10.0,4.5
0.1,0.45,50,0,0.1,0.2222,741831884.0,741831884.0,751883946.0,1.0,1.013550323485422,10.0,4.5
0.1,0.45,50,1,0.1,0.2222,431033649.0,431033649.0,581686008.0,1.0,1.3495141489522087,10.0,4.5
