memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.4,0.0,0.4,5,0,366350013.0
0.4,0.0,0.4,5,1,109436398.0
0.4,0.02,0.4,5,0,372005137.0
0.4,0.02,0.4,5,1,112472127.0
0.4,0.04,0.4,5,0,376004172.0
0.4,0.04,0.4,5,1,115544384.0
0.4,0.06,0.4,5,0,377958936.0
0.4,0.06,0.4,5,1,119248799.0
0.4,0.08,0.4,5,0,377543240.0
0.4,0.08,0.4,5,1,123746124.0
0.4,0.1,0.4,5,0,374554223.0
0.4,0.1,0.4,5,1,127251572.0
0.4,0.12,0.4,5,0,368809147.0
0.4,0.12,0.4,5,1,126724909.0
0.4,0.14,0.4,5,0,360632730.0
0.4,0.14,0.4,5,1,122579140.0
0.4,0.16,0.4,5,0,349255759.0
0.4,0.16,0.4,5,1,117531513.0
0.4,0.18,0.4,5,0,334866593.0
0.4,0.18,0.4,5,1,112726208.0
0.4,0.2,0.4,5,0,317765358.0
0.4,0.2,0.4,5,1,106631016.0
0.4,0.22,0.4,5,0,298572462.0
0.4,0.22,0.4,5,1,99058848.0
0.4,0.24,0.4,5,0,277571065.0
0.4,0.24,0.4,5,1,90668074.0
0.4,0.26,0.4,5,0,255155261.0
0.4,0.26,0.4,5,1,83255388.0
0.4,0.28,0.4,5,0,231151666.0
0.4,0.28,0.4,5,1,76880532.0
0.4,0.3,0.4,5,0,202895943.0
0.4,0.3,0.4,5,1,70727161.0
0.4,0.32,0.4,5,0,172744764.0
0.4,0.32,0.4,5,1,64578430.0
0.4,0.34,0.4,5,0,141044797.0
0.4,0.34,0.4,5,1,59791590.0
0.4,0.36,0.4,5,0,107986176.0
0.4,0.36,0.4,5,1,52824932.0
0.4,0.38,0.4,5,0,73273404.0
0.4,0.38,0.4,5,1,44492845.0
0.4,0.4,0.4,5,0,36998975.0
0.4,0.4,0.4,5,1,36998947.0
0.4,0.0,0.4,10,0,381356468.0
0.4,0.0,0.4,10,1,113773328.0
0.4,0.02,0.4,10,0,387510042.0
0.4,0.02,0.4,10,1,117046272.0
0.4,0.04,0.4,10,0,392008597.0
0.4,0.04,0.4,10,1,120409049.0
0.4,0.06,0.4,10,0,394464261.0
0.4,0.06,0.4,10,1,124475164.0
0.4,0.08,0.4,10,0,394548988.0
0.4,0.08,0.4,10,1,129423949.0
0.4,0.1,0.4,10,0,392059141.0
0.4,0.1,0.4,10,1,133484662.0
0.4,0.12,0.4,10,0,386814250.0
0.4,0.12,0.4,10,1,133628074.0
0.4,0.14,0.4,10,0,379139615.0
0.4,0.14,0.4,10,1,130265668.0
0.4,0.16,0.4,10,0,368259298.0
0.4,0.16,0.4,10,1,126113880.0
0.4,0.18,0.4,10,0,354371898.0
0.4,0.18,0.4,10,1,122309203.0
0.4,0.2,0.4,10,0,337769921.0
0.4,0.2,0.4,10,1,117311431.0
0.4,0.22,0.4,10,0,319077384.0
0.4,0.22,0.4,10,1,110921313.0
0.4,0.24,0.4,10,0,298576408.0
0.4,0.24,0.4,10,1,103789371.0
0.4,0.26,0.4,10,0,276660725.0
0.4,0.26,0.4,10,1,97699383.0
0.4,0.28,0.4,10,0,253157431.0
0.4,0.28,0.4,10,1,92703668.0
0.4,0.3,0.4,10,0,225404122.0
0.4,0.3,0.4,10,1,87979038.0
0.4,0.32,0.4,10,0,195750874.0
0.4,0.32,0.4,10,1,83305860.0
0.4,0.34,0.4,10,0,164547594.0
0.4,0.34,0.4,10,1,80041891.0
0.4,0.36,0.4,10,0,131987499.0
0.4,0.36,0.4,10,1,74628648.0
0.4,0.38,0.4,10,0,97774347.0
0.4,0.38,0.4,10,1,67880720.0
0.4,0.4,0.4,10,0,61998975.0
0.4,0.4,0.4,10,1,61998947.0
0.4,0.0,0.4,15,0,396362923.0
0.4,0.0,0.4,15,1,118110258.0
0.4,0.02,0.4,15,0,403014947.0
0.4,0.02,0.4,15,1,121620417.0
0.4,0.04,0.4,15,0,408013022.0
0.4,0.04,0.4,15,1,125273714.0
0.4,0.06,0.4,15,0,410969586.0
0.4,0.06,0.4,15,1,129701529.0
0.4,0.08,0.4,15,0,411554738.0
0.4,0.08,0.4,15,1,135101774.0
0.4,0.1,0.4,15,0,409564061.0
0.4,0.1,0.4,15,1,139717752.0
0.4,0.12,0.4,15,0,404819355.0
0.4,0.12,0.4,15,1,140531243.0
0.4,0.14,0.4,15,0,397646505.0
0.4,0.14,0.4,15,1,137952198.0
0.4,0.16,0.4,15,0,387262847.0
0.4,0.16,0.4,15,1,134696253.0
0.4,0.18,0.4,15,0,373877240.0
0.4,0.18,0.4,15,1,131892201.0
0.4,0.2,0.4,15,0,357774517.0
0.4,0.2,0.4,15,1,127991846.0
0.4,0.22,0.4,15,0,339582349.0
0.4,0.22,0.4,15,1,122783778.0
0.4,0.24,0.4,15,0,319581810.0
0.4,0.24,0.4,15,1,116910676.0
0.4,0.26,0.4,15,0,298166200.0
0.4,0.26,0.4,15,1,112143378.0
0.4,0.28,0.4,15,0,275163224.0
0.4,0.28,0.4,15,1,108526886.0
0.4,0.3,0.4,15,0,247912320.0
0.4,0.3,0.4,15,1,105231064.0
0.4,0.32,0.4,15,0,218757021.0
0.4,0.32,0.4,15,1,102033290.0
0.4,0.34,0.4,15,0,188050505.0
0.4,0.34,0.4,15,1,100292226.0
0.4,0.36,0.4,15,0,155989064.0
0.4,0.36,0.4,15,1,96432414.0
0.4,0.38,0.4,15,0,122275438.0
0.4,0.38,0.4,15,1,91268595.0
0.4,0.4,0.4,15,0,86998975.0
0.4,0.4,0.4,15,1,86998947.0
0.4,0.0,0.4,20,0,411369378.0
0.4,0.0,0.4,20,1,122447188.0
0.4,0.02,0.4,20,0,418519852.0
0.4,0.02,0.4,20,1,126194562.0
0.4,0.04,0.4,20,0,424017447.0
0.4,0.04,0.4,20,1,130138379.0
0.4,0.06,0.4,20,0,427474911.0
0.4,0.06,0.4,20,1,134927894.0
0.4,0.08,0.4,20,0,428560488.0
0.4,0.08,0.4,20,1,140779599.0
0.4,0.1,0.4,20,0,427068982.0
0.4,0.1,0.4,20,1,145950842.0
0.4,0.12,0.4,20,0,422824460.0
0.4,0.12,0.4,20,1,147434418.0
0.4,0.14,0.4,20,0,416153399.0
0.4,0.14,0.4,20,1,145638728.0
0.4,0.16,0.4,20,0,406266427.0
0.4,0.16,0.4,20,1,143278653.0
0.4,0.18,0.4,20,0,393382599.0
0.4,0.18,0.4,20,1,141475226.0
0.4,0.2,0.4,20,0,377779143.0
0.4,0.2,0.4,20,1,138672261.0
0.4,0.22,0.4,20,0,360087314.0
0.4,0.22,0.4,20,1,134646243.0
0.4,0.24,0.4,20,0,340587225.0
