memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.1,0.0,0.1,10,0,426849139.0
0.1,0.005,0.1,10,0,238132018.0
0.1,0.01,0.1,10,0,211764281.0
0.1,0.015,0.1,10,0,181283646.0
0.1,0.02,0.1,10,0,150980107.0
0.1,0.025,0.1,10,0,127193545.0
0.1,0.03,0.1,10,0,117344276.0
0.1,0.035,0.1,10,0,108972608.0
0.1,0.04,0.1,10,0,102427483.0
0.1,0.045,0.1,10,0,97493793.0
0.1,0.05,0.1,10,0,94042365.0
0.1,0.055,0.1,10,0,89901354.0
0.1,0.06,0.1,10,0,86567403.0
0.1,0.065,0.1,10,0,83414479.0
0.1,0.07,0.1,10,0,80309324.0
0.1,0.075,0.1,10,0,77125340.0
0.1,0.08,0.1,10,0,74058858.0
0.1,0.085,0.1,10,0,70917743.0
0.1,0.09,0.1,10,0,67424895.0
0.1,0.095,0.1,10,0,64065907.0
0.1,0.1,0.1,10,0,60499112.0
0.1,0.0,0.1,50,0,565816339.0
0.1,0.005,0.1,50,0,379920754.0
0.1,0.01,0.1,50,0,356376729.0
0.1,0.015,0.1,50,0,328788752.0
0.1,0.02,0.1,50,0,301394689.0
0.1,0.025,0.1,50,0,280565916.0
0.1,0.03,0.1,50,0,273656397.0
0.1,0.035,0.1,50,0,268260464.0
0.1,0.04,0.1,50,0,264741509.0
0.1,0.045,0.1,50,0,262835901.0
0.1,0.05,0.1,50,0,262432450.0
0.1,0.055,0.1,50,0,261346657.0
0.1,0.06,0.1,50,0,261118604.0
0.1,0.065,0.1,50,0,261069862.0
0.1,0.07,0.1,50,0,261101937.0
0.1,0.075,0.1,50,0,261097399.0
0.1,0.08,0.1,50,0,261215572.0
0.1,0.085,0.1,50,0,261213788.0
0.1,0.09,0.1,50,0,260905786.0
0.1,0.095,0.1,50,0,260800104.0
0.1,0.1,0.1,50,0,260499112.0
0.1,0.0,0.1,100,0,739525339.0
0.1,0.005,0.1,100,0,557190606.0
0.1,0.01,0.1,100,0,537214040.0
0.1,0.015,0.1,100,0,513255963.0
0.1,0.02,0.1,100,0,489472066.0
0.1,0.025,0.1,100,0,472306277.0
0.1,0.03,0.1,100,0,469059785.0
0.1,0.035,0.1,100,0,467379799.0
0.1,0.04,0.1,100,0,467646429.0
0.1,0.045,0.1,100,0,469530006.0
0.1,0.05,0.1,100,0,472941105.0
0.1,0.055,0.1,100,0,475675712.0
0.1,0.06,0.1,100,0,479330974.0
0.1,0.065,0.1,100,0,483160652.0
0.1,0.07,0.1,100,0,487114062.0
0.1,0.075,0.1,100,0,491081304.0
0.1,0.08,0.1,100,0,495175262.0
0.1,0.085,0.1,100,0,499093378.0
0.1,0.09,0.1,100,0,502759911.0
0.1,0.095,0.1,100,0,506718544.0
0.1,0.1,0.1,100,0,510499112.0
0.1,0.0,0.15,10,0,427774647.0
0.1,0.005,0.15,10,0,251308072.0
0.1,0.01,0.15,10,0,238765246.0
0.1,0.015,0.15,10,0,222438482.0
0.1,0.02,0.15,10,0,202935627.0
0.1,0.025,0.15,10,0,181996621.0
0.1,0.03,0.15,10,0,162501963.0
0.1,0.035,0.15,10,0,144820533.0
0.1,0.04,0.15,10,0,132509512.0
0.1,0.045,0.15,10,0,124049864.0
0.1,0.05,0.15,10,0,116962639.0
0.1,0.055,0.15,10,0,112422560.0
0.1,0.06,0.15,10,0,108324159.0
0.1,0.065,0.15,10,0,105009607.0
0.1,0.07,0.15,10,0,102230262.0
0.1,0.075,0.15,10,0,99816987.0
0.1,0.08,0.15,10,0,97708892.0
0.1,0.085,0.15,10,0,95711375.0
0.1,0.09,0.15,10,0,94035595.0
0.1,0.095,0.15,10,0,92177543.0
0.1,0.1,0.15,10,0,91119688.0
0.1,0.0,0.15,50,0,566741847.0
0.1,0.005,0.15,50,0,393097749.0
0.1,0.01,0.15,50,0,383369221.0
0.1,0.015,0.15,50,0,369898166.0
0.1,0.02,0.15,50,0,353258005.0
0.1,0.025,0.15,50,0,335253080.0
0.1,0.03,0.15,50,0,318714292.0
0.1,0.035,0.15,50,0,304042107.0
0.1,0.04,0.15,50,0,294794750.0
0.1,0.045,0.15,50,0,289383453.0
0.1,0.05,0.15,50,0,285351289.0
0.1,0.055,0.15,50,0,283868627.0
0.1,0.06,0.15,50,0,282874700.0
0.1,0.065,0.15,50,0,282659221.0
0.1,0.07,0.15,50,0,283013229.0
0.1,0.075,0.15,50,0,283774407.0
0.1,0.08,0.15,50,0,284844942.0
0.1,0.085,0.15,50,0,285980571.0
0.1,0.09,0.15,50,0,287486474.0
0.1,0.095,0.15,50,0,288875548.0
0.1,0.1,0.15,50,0,291082954.0
0.1,0.0,0.15,100,0,740450847.0
0.1,0.005,0.15,100,0,570368949.0
0.1,0.01,0.15,100,0,564208732.0
0.1,0.015,0.15,100,0,554361907.0
0.1,0.02,0.15,100,0,541325482.0
0.1,0.025,0.15,100,0,526979846.0
0.1,0.03,0.15,100,0,514105482.0
0.1,0.035,0.15,100,0,503154071.0
0.1,0.04,0.15,100,0,497696092.0
